Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
CA1247954,04.01.1989,PIZZA OVEN,"[568,784 1984-01-06T23:59:59.000Z US]",A21B 1/44,,"BAKER, EDWARD D.;LANG-REE, NILS;JOHNSON, RALPH K.",
US5180075,20.01.1993,Pizza packaging system,[2051013 1991-09-09T23:59:59.000Z CA],B65D 77/04;B65D 77/04;B65D 81/38;B65D 81/38;B65D 85/30;B65D 85/36,MONTALBANO HENRY,Montalbano Henry,
US4563946,15.01.1986,Pizza pan,,A47J 37/01;A21B 3/00;A21B 3/13;A47J 37/10;A47J 37/10;A47J 43/00;A47J 43/20,BARLOW RICHARD A;LOGAN EUGENE T,Barlow Richard A.;Logan Eugene T.,
CA1330276,22.06.1994,PIZZA DOUGH,,A21D 8/00;A21D 2/36;A21D 13/00,,"POULGOURAS, KONSTANTINOS",
WO2014001374,04.01.2014,"PIZZA BOX, PIZZA STORAGE SYSTEM, OPENING MECHANISM AND A PIZZA OVEN FOR A PIZZA MACHINE",[EP 20120626 12173640.9],G07F 17/00;A21B 1/00;B65B 69/00;B65G 59/06;B65D 5/00;B65D 5/54;B65D 85/36,PIZZA BOX INCORPORATED AG,"BONOMI, John;BONOMI, Nicola",
US20050011939,21.01.2005,Pizza box,"[10889835 2004-07-13T23:59:59.000Z US, 60487171 2003-07-14T23:59:59.000Z US, 60539943 2004-01-29T23:59:59.000Z US]",B65D 43/08;B26D 5/42;B65D 5/20;B65D 5/20;B65D 5/30;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,,Angelopoulos Evangelos;Moschetta Dolores,
US5169058,09.12.1992,Pizza tote,,B65D 5/46;B65D 5/46;B65D 5/472;B65D 85/30;B65D 85/36,SAMPLE LEOLA,Sample Leola,
US5256432,27.10.1993,Method of making pizza with a pizza toppings disk,"[07613249 1990-11-13T23:59:59.000Z US, 07798070 1991-11-20T23:59:59.000Z US]",A23P 1/08;A21C 9/00;A21C 9/04,"Pizza Hut, Inc.",McDonald Jane M.;Bingham Lynn R.;Higgins Lori B.;Jennings Kathryn M.;Koeppe Susan;O'Neill Edward,
CA1126524,30.06.1982,PIZZA PAN,,A47J 37/10;A21B 3/15;A47J 36/02,,"HAMPEL, VERA",
CA2336424,02.09.2001,PIZZA PACKAGING SYSTEM AND METHOD,"[09/517,065 2000-03-01T23:59:59.000Z US]",B65D 5/49;B65D 85/36,"TULKOFF, MARTIN","TULKOFF, MARTIN",
US6286708,12.09.2001,Pizza pan,"[08406311 1995-03-17T23:59:59.000Z US, 08406313 1995-03-17T23:59:59.000Z US, 08573929 1995-12-18T23:59:59.000Z US, 09148004 1998-09-04T23:59:59.000Z US]",B65D 6/28;A21B 3/00;A21B 3/13,"Pizza Hut, Inc.","Scheibmeir, Patricia;McDaniel, Deborah;Woodward, Steve;Proctor, Valerie",
US3982033,22.09.1976,Process for coating pizza shells with sauce,[04880880 1969-11-28T23:59:59.000Z US],A21C 9/00;A21C 9/04;A21D 13/00;A21D 13/00;A23G 3/02;A23G 3/02;A23G 3/20,Fairmont Foods Company,Zito Santo,
US5997924,08.12.1999,Automated process for making pizza,,A21C 9/08;A21C 11/00;A21C 11/00;G07F 9/10;G07F 9/10,"LMO Consultants, Inc.",Olander William T.;Lucnik Joseph W.;Martin Robert C.,
US20140087032,28.03.2014,Pizza Kit and Method for Making Pizza,,A21D 13/00,Gallo Thomas A.;GALLO LEA ORGANICS LLC;Devitt Susan,Gallo Thomas A.;Devitt Susan,
CA2102085,14.08.1994,PIZZA TRAY,"[017,250 1993-02-12T23:59:59.000Z US]",B65D 5/22;B65D 5/20,,"FRANCE, STEPHEN L.",
US4506652,27.03.1985,Pizza oven,,A21B 1/44;A21B 1/00;A21B 1/44,Nieco Corporation,Baker Edward D.;Lang-Ree Nils;Johnson Ralph K.,
US20110262590,28.10.2011,Pizza Kit and Method for Making Pizza,,A21D 8/04;A21D 10/02,GALLO LEA ORGANICS LLC,Gallo Thomas A.;Devitt Susan,
EP1238588,12.09.2002,Microwaveable pizza crust,[67948400 2000-10-04T23:59:59.000Z US],A21D 13/00;A21D 2/16;A21D 2/18;A21D 10/00,KRAFT FOODS HOLDINGS INC,MCPHERSON ANDREW E;CHEN WEIZHI;AKASHE AHMAD;MILLER MIRANDA,
US20140008265,10.01.2014,Musical pizza box,,A45C 11/20,Ruggiero Gaetano Francesco,Ruggiero Gaetano Francesco,
US5253565,20.10.1993,Pizza construction and apparatus,,A47J 37/06;A47J 37/06;A47J 37/06,BURTON GARY B,Burton Gary B.,
US20050028388,11.02.2005,Pizza cutter,[10635457 2003-08-07T23:59:59.000Z US],B26B 3/00;B26B 25/00;B26B 25/00,,Liu Ming-Chien,
US6627242,01.10.2003,Microwaveable pizza crust,[09679484 2000-10-04T23:59:59.000Z US],A21D 10/02;A21D 2/00;A21D 2/16;A21D 2/18;A21D 10/00;A21D 10/00;A21D 13/00;A21D 13/00,"Kraft Foods Holdings, Inc.","McPherson, Andrew E.;Chen, Weizhi;Akashe, Ahmad;Miller, Miranda",
US6851603,09.02.2005,Pizza box,[10745235 2003-12-22T23:59:59.000Z US],B65D 5/42;B65D 5/42;B65D 5/42;B65D 5/44;B65D 5/52;B65D 5/64;B65D 5/66,"Papa John's International, Inc.",Carlson Robert C.;Glock Owen;Tilley Dana M.;Knierim Stanley E.;Bailey Melissa M.,
US4883195,29.11.1989,Pizza container,,B65D 8/04;B65D 8/18;B65D 21/02;B65D 21/02;B65D 43/02;B65D 43/02;B65D 43/16;B65D 43/16;B65D 51/16;B65D 51/16;B65D 81/34;B65D 81/34;B65D 85/30;B65D 85/36,"Restaurant Technology, Inc.",Ott Edward L.;Conway Timothy F.;Kubala Thomas S.,
US20120060373,16.03.2012,Pizza slice cutting stamp,,A21C 15/04,Spreen Ryan P.,Spreen Ryan P.,
US20070141205,22.06.2007,Method of preparing pizza,"[11644585 2006-12-21T23:59:59.000Z US, 60753159 2005-12-21T23:59:59.000Z US]",A21D 13/00;A21D 13/00,SADOW BERNARD D,Sadow Bernard D.,
US6557260,07.05.2003,Even-slice pizza cutter,[09243882 1999-02-03T23:59:59.000Z US],A21C 15/04;A21C 15/04,MORRIS KENNETH A.,"Morris, Kenneth A.",
US20140290068,03.10.2014,MULTI SLICE PIZZA CUTTER,,A21C 15/04,,,
CA2259293,09.01.1998,DIVIDED PIZZA WITH ADJOINING CRUST SEGMENTS,"[08/673,337 1996-06-28T23:59:59.000Z US]",A21D 13/00,"PAULUCCI, JENO F.","PAULUCCI, JENO F.",
CA2046836,08.11.1992,PIZZA BOX,"[07/695,920 1991-05-06T23:59:59.000Z US]",B65D 81/34;H05B 6/80,,"BECKETT, D. GREGORY",
US20110185919,05.08.2011,Modular pizza cart,,A47J 37/00,Yglesias Guillermo Julio,Yglesias Guillermo Julio,
US6068313,31.05.2000,Pizza paddle device,,A47J 43/28;A21B 3/00;A21B 3/00,CASPER; GARY D.;CASPER; JENNIFER P.,Casper Gary D.;Casper Jennifer P.,
CA2096021,15.05.1992,"METHOD OF MAKING A PIZZA, PIZZA TOPPINGS DISK AND APPARATUS FOR MAKING SAME","[613,249 1990-11-13T23:59:59.000Z US, 746,657 1991-08-16T23:59:59.000Z US]",A21C 9/04;A23P 1/08,,"MCDONALD, JANE M.;BINGHAM, LYNN R.;HIGGINS, LORI B.;JENNINGS, KATHRYN M.;KOEPPE, SUSAN;O'NEILL, EDWARD;MOSHIER, MARK W.;BEHM, LARRY R.;JAAX, SUSAN L.",
US20100306136,03.12.2010,Pizza Business Model,[0909440 2009-06-01T23:59:59.000Z GB],G06Q 90/00,GOOLAB ANTHONY,Goolab Anthony,
US5503063,03.04.1996,Pizza crisper,,A47J 37/01;A21B 3/00;A21B 3/13;A47J 37/01;A47J 37/01;A47J 37/10;A47J 37/10,"Ekco Housewares, Inc.",Sebald Robert V.,
CA2358139,05.04.2002,MICROWAVEABLE PIZZA CRUST,"[09/679,484 2000-10-04T23:59:59.000Z US]",A21D 13/00;A21D 2/16;A21D 2/18;A21D 10/00;A23P 1/08,"KRAFT FOODS HOLDINGS, INC.","MCPHERSON, ANDREW E.;CHEN, WEIZHI;AKASHE, AHMAD;MILLER, MIRANDA",
US4836593,07.06.1989,Pizza utensil,,A47G 21/00;A47G 21/00,COOLEY JOHN,Cooley John,
US20130142935,07.06.2013,PROTEIN-BASED PIZZA CRUST,,A23L 1/315;A23L 1/36,ALY MOHAMED ELHOSINY,ALY MOHAMED ELHOSINY,
CA2308557,18.11.2000,DEEP DISH PIZZA CRUST,"[134,569 1999-05-17T23:59:59.000Z US]",A21D 13/00;A21C 11/00;A21D 10/02;A21D 15/00;A23L 1/10;B65D 5/28;B65D 5/42;B65D 77/04;B65D 85/36,"KRAFT FOODS, INC.","RODE, MARY AMANDA;PAULOS, WILLIAM THEODORE;FORNECK, KEITH DANIEL",
EP1199217,25.04.2002,Pizza preparation & delivering method,[00122736 2000-10-18T23:59:59.000Z EP],A21D 8/00;B60P 3/025;A23L 1/48;A21D 13/00;A21B 1/00;A21D 15/02;A21D 8/00;F24B 1/20;A21D 13/00;A21D 15/02;B60P 3/025;B60P 3/14,NESTLE SA,BLANCHET JEAN;CATHELIN HERVE;HEBERT CHRISTIAN;NOUYRIT OLIVIER,
US4574479,12.03.1986,Pizza cutter,,A47J 43/28;A47G 21/00;A47G 21/04;B26B 3/00;B26B 3/00;B26B 27/00;B26B 27/00,GRAMANN HUGH D,Gramann Hugh D.,
US20120175367,13.07.2012,Reusable Pizza Pan Set,,B65D 51/00,Lopes Susan;Saake Jeffrey,Lopes Susan;Saake Jeffrey,
US5253800,20.10.1993,Pizza tray,,B65B 5/20;B65D 5/20;B65D 5/20,Arvco Container Corporation,France Stephen L.,
US5423477,14.06.1995,Pizza box,[07860177 1992-03-30T23:59:59.000Z US],B65D 43/03;B65D 1/34;B65D 21/02;B65D 43/06;B65D 21/02;B65D 81/26;B65D 81/26;B65D 81/38;B65D 81/38,Invention Machine Corporation,Valdman Michael;Schum Michael,
EP0471095,20.02.1992,MACHINE FOR PRODUCING A PIZZA,[90115057 1990-08-06T23:59:59.000Z EP],A21C 11/00;A21C 11/00;A21C 11/10,FRISCO-FINDUS AG,"WADELL, LARS GUSTAF ALBERT",
US20070227365,05.10.2007,Dual Temperature Pizza Oven,"[60524776 2003-11-25T23:59:59.000Z US, US04039581 2004-11-24T23:59:59.000Z WO]",A47J 37/00;A47J 37/00,FORKNER DONALD,Forkner Donald,
US6386440,15.05.2002,Pizza packaging system and method,[09517065 2000-03-01T23:59:59.000Z US],B65D 5/48;B65D 5/48;B65D 5/49;B65D 85/30;B65D 85/36,TULKOFF MARTIN,"Tulkoff, Martin",
US20050274779,16.12.2005,Pizza box,[10865540 2004-06-10T23:59:59.000Z US],B65D 5/00;B65D 5/00;B65D 5/64;B65D 5/66;B65D 43/00;B65D 43/00;B65D 85/30;B65D 85/36,International Paper Company,Kuhn Wayne H.;Pizzitola Frank,
US20080032004,08.02.2008,METHOD OF PREPARING PIZZA,,A21D 13/00;A21D 13/00,"Little Caesar Enterprises, Inc.",Fritz-Jung Cathryn;Auer Deborah;Kakish Hiba;Thomas Amanda B.,
US4559002,18.12.1985,Pizza press,,A21C 11/00;B30B 11/00;A21C 11/00;A21C 11/00;F16P 3/00;F16P 3/08,ATWOOD HAROLD T,Atwood Harold T.,
WO2005051148,10.06.2005,DUAL TEMPERATURE PIZZA OVEN,"[60/524,776 25.11.2003 US]",A47J 37/06,"WISCO INDUSTRIES, INC.;FORKNER, Donald","FORKNER, Donald",
US20020064586,31.05.2002,Microwaveable pizza crust,"[09679484 2000-10-04T23:59:59.000Z US, 09780771 2001-02-09T23:59:59.000Z US]",A21D 13/00;A21D 2/00;A21D 2/16;A21D 2/18;A21D 10/00;A21D 10/00;A21D 13/00;A21D 13/00,"KRAFT FOODS HOLDINGS, INC.",McPherson Andrew E.;Chen Weizhi;Akashe Ahmad;Miller Miranda,
US5112630,13.05.1992,Pizza pager signaling process,,A21B 1/00;A21B 1/40;A21B 1/42,SCOTT ARTHUR C,Scott Arthur C.,
CA2182687,11.08.1995,PIZZA CRISPER,"[08/190,942 1994-02-03T23:59:59.000Z US]",A47J 37/01;A21B 3/13;A47J 37/10,"EKCO HOUSEWARES, INC.","SEBALD, ROBERT V.",
US4170302,10.10.1979,Thermal pizza plate,,A47J 41/00;A47J 41/00;A47J 47/00;A47J 47/14;B65D 85/30;B65D 85/36,BACA CARLOS M,Baca Carlos M.,
US20120009302,13.01.2012,HYBRID PIZZA-LASAGNA FOOD PRODUCT,,A21D 13/00;A23L 1/16;A23C 19/09;A23L 1/31,Farrell Brian;McNulty John;Vishoot Lisa,Farrell Brian;McNulty John;Vishoot Lisa,
US20050118305,03.06.2005,Mexican style pizza,[10001162 2004-12-01T23:59:59.000Z US],A23G 3/00;A21D 13/00;A21D 13/00;A23L 1/212;A23L 1/212;A23L 1/39;A23L 1/39,,Romero Christopher,
EP0557425,02.09.1993,"METHOD OF MAKING A PIZZA, PIZZA TOPPINGS DISK AND APPARATUS FOR MAKING SAME","[61324990 1990-11-13T23:59:59.000Z US, 74665791 1991-08-16T23:59:59.000Z US, 9108464 1991-11-13T23:59:59.000Z US]",A21D 13/00;A21C 9/04;A21C 9/04;A23P 1/08;A23L 1/48;A23P 1/08,PIZZA HUT INC,MCDONALD JANE M;BINGHAM LYNN R;HIGGINS LORI B;JENNINGS KATHRYN M;KOEPPE SUSAN;ONEILL EDWARD;MOSHIER MARK W;BEHM LARRY R;JAAX SUSAN L,
WO1995020901,11.08.1995,PIZZA CRISPER,"[08/190,942 03.02.1994 US]",A21B 3/13;A47J 37/01;A47J 37/10,"EKCO HOUSEWARES, INC.","SEBALD, Robert, V.",
WO1992016417,02.10.1992,STACKED PIZZA PIE BOX,,B65D 5/49,"RAGAN, Philip, J.","RAGAN, Philip, J.",
US20030160040,29.08.2003,Support accessory for making pizza,,A21B 1/00;A21B 3/00;A21B 3/13;A21C 11/00;A21C 11/00,,Santora Osvaldo,
WO2008018983,15.02.2008,METHOD OF PREPARING PIZZA,"[11/462,539 04.08.2006 US]",A21D 13/00;A23G 3/00,"LITTLE CAESAR ENTERPRISES, INC.;FRITZ-JUNG, Cathryn;AUER, Deborah;KAKISH, Hiba;THOMAS, Amanda, B.","FRITZ-JUNG, Cathryn;AUER, Deborah;KAKISH, Hiba;THOMAS, Amanda, B.",
CA1226758,16.09.1987,LAMINATE PIZZA CRUST,"[413,888 1982-09-01T23:59:59.000Z US]",A21D 13/00,,"RICKE, ROY R.",
EP1042956,12.10.2000,Raw topped pizza dough,[99201085 1999-04-09T23:59:59.000Z EP],A21D 13/00;A21D 10/02,NESTLE SA,STOKOE IAN,
US4173942,14.11.1979,Pizza making machine,,A21B 5/00;A21B 5/02;A21B 7/00;A21B 7/00;A21C 9/00;A21C 9/04,"Bastian Blessing Company, Inc.",Plattner Robert F.,
US6010731,05.01.2000,Method of preparing pizza dough,[08504240 1995-07-19T23:59:59.000Z US],A21D 8/00;A21B 3/00;A21B 3/13;A21C 11/00;A21C 11/00;A47J 37/10;A47J 37/10,KIMPLE; ROBERT J.,Kimple Robert J.,
US5200225,07.04.1993,Pizza baking process,,A21B 3/00;A21B 3/04;A21D 13/00;A21D 13/00,APAYDIN OKAN,Apaydin Okan,
US20060186186,25.08.2006,Pizza box,"[11207167 2005-08-18T23:59:59.000Z US, 60602991 2004-08-19T23:59:59.000Z US]",B65D 5/00;B65D 5/00,International Paper Company,Kuhn Wayne H.;Pizzitola Frank,
WO2006023692,03.03.2006,PIZZA BOX,"[60/602,991 19.08.2004 US]",B65D 5/66;B65D 85/36,"INTERNATIONAL PAPER COMPANY;KUHN, Wayne, H.;PIZZITOLA, Frank","KUHN, Wayne, H.;PIZZITOLA, Frank",
US5002221,27.03.1991,Stacked pizza pie box,,B65D 5/48;B65D 5/49,RAGAN PHILIP J,Ragan Philip J.,
US20020079357,28.06.2002,Pizza packaging system and method,[09517065 2000-03-01T23:59:59.000Z US],B65D 5/48;B65D 5/49;B65D 85/36,TULKOFF MARTIN,"Tulkoff, Martin",
US4904492,28.02.1990,Method for cooking pizza,,A21B 3/00;A21B 3/00;A21B 3/15,Wells Manufacturing Company,Prigge George W.,
WO2014130755,29.08.2014,FROZEN PIZZA PREPARATION PACKAGE AND METHOD,"[US 20130225 61/768,603, US 20131107 14/073,949, US 20140219 14/183,602]",A21D 8/00;A21D 13/00;B65D 81/34;B65D 85/36,"WEINSTEIN, Michael;WEINSTEIN, Robert E.","WEINSTEIN, Michael;WEINSTEIN, Robert E.",
US4344534,18.08.1982,Pizza carrier,,A45C 11/00;A45C 11/00;A45C 11/20;A45C 11/20;A45C 13/00;A45C 13/26,SUTTON BERNARD,Sutton Bernard,
CA2791135,02.09.2011,AUTOMATED PIZZA ASSEMBLY SYSTEM,"[13/033,650 2011-02-24T23:59:59.000Z US, 61/308,487 2010-02-26T23:59:59.000Z US, 61/320,337 2010-04-02T23:59:59.000Z US]",A21C 9/04;A21C 9/08,"LITTLE CAESAR ENTERPRISES, INC.","FRITZ-JUNG, CATHRYN;SCRIVANO, DAVID;STROTHER, DAVID;THOMAS, AMANDA B.;HESLIP, SEAN M.;DEEMTER, KENT A.;MCCOY, TYLER W.;HOEKSEMA, BRET A.",
US4498376,13.02.1985,Pizza cooking utensil,,A47J 37/10;A47J 37/06;A47J 37/06;A47J 37/10;A47J 37/10,CAREY THOMAS F,Carey Thomas F.,
CA2777889,06.05.2011,PIZZA SANDWICH,"[12/609,638 2009-10-30T23:59:59.000Z US]",A21D 13/00,NESTEC S.A.,"DODD, KRISTIN N.;GREINER, STEVEN P.;CONWAY, BERNARD WILLIAM;YOST, RACHEL MICHELLE;FOSTER, LISA A.;STOCKWELL, PATRICIA",
WO2005123545,30.12.2005,PIZZA BOX,"[10/865,540 10.06.2004 US]",B65D 85/36;B65D 5/66;B65D 5/00,"INTERNATIONAL PAPER COMPANY;KUHN, Wayne, H.;PIZZITOLA, Frank","KUHN, Wayne, H.;PIZZITOLA, Frank",
EP1799567,28.06.2007,PIZZA BOX,"[2005029489 2005-08-18T23:59:59.000Z US, 60299104 2004-08-19T23:59:59.000Z US]",B65D 5/66;B65D 85/36,INT PAPER CO,KUHN WAYNE H;PIZZITOLA FRANK,
US4066796,04.01.1978,Coating pizza products,,A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/08;A23L 1/00;A23L 1/00,"Food Research, Inc.",McKee Donald H.,
US20120024170,03.02.2012,Automated Pizza Assembly System,,A23P 1/00,Fritz-Jung Cathryn;Scrivano David;Strother David;Thomas Amanda B.;Heslip Sean M.;Deemter Kent A.;McCoy Tyler W.;Hoeksema Bret A.,Fritz-Jung Cathryn;Scrivano David;Strother David;Thomas Amanda B.;Heslip Sean M.;Deemter Kent A.;McCoy Tyler W.;Hoeksema Bret A.,
CA1156508,09.11.1983,FROZEN PIZZA AND METHOD,"[63,997 1979-08-06T23:59:59.000Z US]",A23L 1/00;A21D 15/02,,"YANTIS, JUNE E.;HEMPENIUS, WALTER L.",
WO1998000028,09.01.1998,DIVIDED PIZZA WITH ADJOINING CRUST SEGMENTS,"[08/673,337 28.06.1996 US]",A21D 13/00,"PAULUCCI, Jeno, F.","PAULUCCI, Jeno, F.",
US4131080,27.12.1978,Utensil for making pizzas,,A21C 9/00;A21C 9/04,HUGHES LEROY A,Hughes Leroy A.,
US20120076444,30.03.2012,PIZZA PACKAGING,[PA 2009 00612 2009-05-14T23:59:59.000Z DK],B65D 30/00,Ostergaard Ole,Ostergaard Ole,
US20140242223,29.08.2014,Frozen pizza preparation package and method,,A21D 13/00;A21D 8/06;A21D 15/02,Weinstein Michael;Weinstein Robert E,Weinstein Michael;Weinstein Robert E,
US20040265438,31.12.2004,Deep dish pizza crust,"[09572808 2000-05-17T23:59:59.000Z US, 10042964 2002-01-08T23:59:59.000Z US, 10864554 2004-06-09T23:59:59.000Z US, 60134569 1999-05-17T23:59:59.000Z US]",A23B 4/00;A21C 11/00;A21C 11/00;A21D 10/00;A21D 10/02;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/00;B65D 5/20;B65D 5/28;B65D 5/42;B65D 5/42;B65D 77/04;B65D 77/04;B65D 85/30;B65D 85/36,"KRAFT FOOD HOLDINGS, INC.",Lamp Mary A.;Forneck Keith;Paulos William T.,
US20020197360,27.12.2002,Deep dish pizza crust,"[09572808 2000-05-17T23:59:59.000Z US, 60134569 1999-05-17T23:59:59.000Z US]",B65D 85/00;A21C 11/00;A21C 11/00;A21D 10/00;A21D 10/02;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/00;B65D 5/20;B65D 5/28;B65D 5/42;B65D 5/42;B65D 77/04;B65D 77/04;B65D 85/30;B65D 85/36,"Kraft Foods Holdings, Inc.","Lamp, Mary A.;Forneck, Keith;Paulos, William T.",
US20060141104,30.06.2006,Deep dish pizza crust,"[09572808 2000-05-17T23:59:59.000Z US, 10864554 2004-06-09T23:59:59.000Z US, 11358764 2006-02-21T23:59:59.000Z US, 60134569 1999-05-17T23:59:59.000Z US]",B65D 81/32;B65D 81/32,"Kraft Foods Holdings, Inc.",Lamp Mary A.;Forneck Keith;Paulos William T.,
WO1992008358,30.05.1992,"METHOD OF MAKING A PIZZA, PIZZA TOPPINGS DISK AND APPARATUS FOR MAKING SAME","[613,249 13.11.1990 US, 746,657 16.08.1991 US]",A21C 9/04,"PIZZA HUT, INC.","MCDONALD, Jane, M.;BINGHAM, Lynn, R.;HIGGINS, Lori, B.;JENNINGS, Kathryn, M.;KOEPPE, Susan;O'NEILL, Edward;MOSHIER, Mark, W.;BEHM, Larry, R.;JAAX, Susan, L.",
WO2011051062,06.05.2011,PIZZA SANDWICH,"[US 20091030 12/609,638]",A21D 13/00,"NESTEC S.A.;DODD, Kristin, N.;GREINER, Steven, P.;CONWAY, Bernard, William;YOST, Rachel, Michelle;FOSTER, Lisa, A.;STOCKWELL, Patricia","DODD, Kristin, N.;GREINER, Steven, P.;CONWAY, Bernard, William;YOST, Rachel, Michelle;FOSTER, Lisa, A.;STOCKWELL, Patricia",
US20130101709,26.04.2013,METHOD AND SYSTEM FOR ASSEMBLING A PIZZA,,A23L 1/00;G01N 5/00,"Pizza Hut, Inc.;Pizza Hut, Inc.",Rader Jeff,
US20110209661,02.09.2011,Automated Pizza Assembly System,,A21C 14/00;B05B 1/00;B05C 11/00;B05C 13/00;B25J 18/04;B25J 15/00,"LITTLE CAESAR ENTERPRISES, INC.",Fritz-Jung Cathryn;Scrivano David;Strother David;Thomas Amanda B.;Heslip Sean M.;Deemter Kent A.;McCoy Tyler W.;Hoeksema Bret A.,
